dataset,warmup_mode,runs,wall_mean_s,wall_std_s,total_mean_s,total_std_s,elapsed_mean_s,elapsed_std_s
adult,off,10,2.1320716397080104,0.10254553950042229,1.8003425117989535,0.10325984378863592,1.521210180502385,0.09688765744097809
adult,on,10,2.0921337062958627,0.05188257600918762,1.7592188369075301,0.04861947737005829,1.4865622828016058,0.03960843624438641
census_income,off,10,4.344398260413437,0.1660582367659846,3.9799642354075333,0.16410201871270907,2.5961021660943517,0.16402005334748737
census_income,on,10,3.5748719857016114,0.14786595092105878,3.2117257614969277,0.13993719558260387,1.7231472606013996,0.12866524356590855
