timestamp_utc,dataset_key,gpu_kernel_min_work,run_index,status,actual_backend,elapsed_seconds,peak_vram_mb,rule_count,gpu_node_batch_size,max_gpu_mem_mb
2026-05-06T12:00:43.543550+00:00,telco,0,0,ok,gpu,0.21068176999688148,1.5458984375,150,,
2026-05-06T12:00:43.783019+00:00,telco,0,1,ok,gpu,0.22606795199681073,1.5458984375,150,,
2026-05-06T12:00:44.006892+00:00,telco,0,2,ok,gpu,0.2105992849683389,1.5458984375,150,,
2026-05-06T12:00:44.234826+00:00,telco,0,3,ok,gpu,0.21439445501891896,1.5458984375,150,,
2026-05-06T12:00:44.481264+00:00,telco,0,4,ok,gpu,0.23235513496911153,1.5458984375,150,,
2026-05-06T12:00:44.703675+00:00,telco,128,0,ok,gpu,0.2089830240001902,1.5458984375,150,,
2026-05-06T12:00:44.943823+00:00,telco,128,1,ok,gpu,0.22689364798134193,1.5458984375,150,,
2026-05-06T12:00:45.167469+00:00,telco,128,2,ok,gpu,0.21039503597421572,1.5458984375,150,,
2026-05-06T12:00:45.392532+00:00,telco,128,3,ok,gpu,0.21147767000366002,1.5458984375,150,,
2026-05-06T12:00:45.632435+00:00,telco,128,4,ok,gpu,0.22667701198952273,1.5458984375,150,,
2026-05-06T12:00:45.861203+00:00,telco,512,0,ok,gpu,0.21509334101574495,1.5458984375,150,,
2026-05-06T12:00:46.086836+00:00,telco,512,1,ok,gpu,0.21094301395351067,1.5458984375,150,,
2026-05-06T12:00:46.373639+00:00,telco,512,2,ok,gpu,0.2729158090078272,1.5458984375,150,,
2026-05-06T12:00:46.601223+00:00,telco,512,3,ok,gpu,0.21436387801077217,1.5458984375,150,,
2026-05-06T12:00:46.826628+00:00,telco,512,4,ok,gpu,0.21167558000888675,1.5458984375,150,,
2026-05-06T12:00:47.146037+00:00,telco,1024,0,ok,gpu,0.30618907103780657,1.5458984375,150,,
2026-05-06T12:00:47.370008+00:00,telco,1024,1,ok,gpu,0.21040370897389948,1.5458984375,150,,
2026-05-06T12:00:47.593312+00:00,telco,1024,2,ok,gpu,0.20970464398851618,1.5458984375,150,,
2026-05-06T12:00:47.913413+00:00,telco,1024,3,ok,gpu,0.3063566740020178,1.37646484375,150,,
2026-05-06T12:00:48.142193+00:00,telco,1024,4,ok,gpu,0.21335862099658698,1.5458984375,150,,
2026-05-06T12:00:48.368176+00:00,telco,2048,0,ok,gpu,0.2122320890193805,1.5458984375,150,,
2026-05-06T12:00:48.647073+00:00,telco,2048,1,ok,gpu,0.2658243109472096,1.5458984375,150,,
2026-05-06T12:00:48.891400+00:00,telco,2048,2,ok,gpu,0.23086959100328386,1.37646484375,150,,
2026-05-06T12:00:49.175664+00:00,telco,2048,3,ok,gpu,0.27061695797601715,1.5458984375,150,,
2026-05-06T12:00:49.403251+00:00,telco,2048,4,ok,gpu,0.21204737102380022,1.5458984375,150,,
2026-05-06T12:00:50.707642+00:00,telco,1000000000,0,ok,gpu,1.2903060530079529,1.5458984375,150,,
2026-05-06T12:00:51.899992+00:00,telco,1000000000,1,ok,gpu,1.1769057539640926,1.5458984375,150,,
2026-05-06T12:00:53.209664+00:00,telco,1000000000,2,ok,gpu,1.2958030510344543,0.19091796875,150,,
2026-05-06T12:00:54.418998+00:00,telco,1000000000,3,ok,gpu,1.1952158479834907,1.5458984375,150,,
2026-05-06T12:00:55.546766+00:00,telco,1000000000,4,ok,gpu,1.1144908569986,1.5458984375,150,,
2026-05-06T12:00:55.711109+00:00,adult,0,0,ok,gpu,0.1109394520171918,5.298828125,885,,
2026-05-06T12:00:55.865187+00:00,adult,0,1,ok,gpu,0.09914051601663232,5.298828125,885,,
2026-05-06T12:00:56.028408+00:00,adult,0,2,ok,gpu,0.1079624270205386,5.298828125,885,,
2026-05-06T12:00:56.191263+00:00,adult,0,3,ok,gpu,0.10700324800563976,5.298828125,885,,
2026-05-06T12:00:56.354374+00:00,adult,0,4,ok,gpu,0.10788301698630676,5.298828125,885,,
2026-05-06T12:00:56.516449+00:00,adult,128,0,ok,gpu,0.10674884397303686,5.298828125,885,,
2026-05-06T12:00:56.678369+00:00,adult,128,1,ok,gpu,0.10673106700414792,5.298828125,885,,
2026-05-06T12:00:56.840274+00:00,adult,128,2,ok,gpu,0.10654499602969736,5.298828125,885,,
2026-05-06T12:00:57.003875+00:00,adult,128,3,ok,gpu,0.10792413901071995,5.298828125,885,,
2026-05-06T12:00:57.179990+00:00,adult,128,4,ok,gpu,0.12067212798865512,5.298828125,885,,
2026-05-06T12:00:57.548888+00:00,adult,512,0,ok,gpu,0.3129848890239373,5.298828125,885,,
2026-05-06T12:00:57.711599+00:00,adult,512,1,ok,gpu,0.10671234899200499,5.298828125,885,,
2026-05-06T12:00:57.875090+00:00,adult,512,2,ok,gpu,0.10775088699301705,5.298828125,885,,
2026-05-06T12:00:58.046633+00:00,adult,512,3,ok,gpu,0.10926174896303564,5.298828125,885,,
