dataset_key,gpu_kernel_min_work,runs,mean_elapsed_seconds,median_elapsed_seconds,min_elapsed_seconds,max_elapsed_seconds,stdev_elapsed_seconds,mean_peak_vram_mb,max_peak_vram_mb
adult,0,5,0.10658573200926184,0.10788301698630676,0.09914051601663232,0.1109394520171918,0.003953193042524694,5.298828125,5.298828125
adult,128,5,0.10972423480125144,0.10674884397303686,0.10654499602969736,0.12067212798865512,0.005495748780770147,5.298828125,5.298828125
adult,512,5,0.17589647519635038,0.10926174896303564,0.10671234899200499,0.3129848890239373,0.08618130588304758,5.298828125,5.298828125
adult,1024,5,0.1458941491902806,0.10673202900215983,0.09896404895698652,0.27545382897369564,0.06657004032632097,5.298828125,5.298828125
adult,2048,5,0.1464678352116607,0.10763200704241171,0.10701111902017146,0.30242694600019604,0.07798001302931387,5.298828125,5.298828125
adult,1000000000,5,0.7091440092073753,0.7048457119963132,0.6957585110212676,0.7375843140180223,0.014617825124746768,5.298828125,5.298828125
census_income,0,5,1.1621133701875805,1.2126452929805964,0.9364889999851584,1.2298128029797226,0.11329116372386056,184.294140625,222.66015625
census_income,128,5,1.156784888007678,1.1916513390024193,1.053307902009692,1.2581010890426114,0.08471074836111561,222.66015625,222.66015625
census_income,512,5,1.2198980939807371,1.2201447080005892,1.0494326789630577,1.3502607719856314,0.10099367682267396,145.928125,222.66015625
census_income,1024,5,1.0233104154001922,1.0133760219905525,0.9554312429972924,1.1481067350250669,0.06787956111634598,184.294140625,222.66015625
census_income,2048,5,1.103102144796867,1.0326309040538035,0.940803307981696,1.3266738299862482,0.1623952066516644,107.562109375,222.66015625
census_income,1000000000,5,7.195823498407845,7.633454944996629,5.601584537012968,7.6579881040379405,0.8012403192113692,69.19609375,222.66015625
telco,0,5,0.21881971939001232,0.21439445501891896,0.2105992849683389,0.23235513496911153,0.008821894104799007,1.5458984375,1.5458984375
telco,128,5,0.21688527798978613,0.21147767000366002,0.2089830240001902,0.22689364798134193,0.008122273182771525,1.5458984375,1.5458984375
telco,512,5,0.22499832439934836,0.21436387801077217,0.21094301395351067,0.2729158090078272,0.02400971781111647,1.5458984375,1.5458984375
telco,1024,5,0.24920254379976542,0.21335862099658698,0.20970464398851618,0.3063566740020178,0.04661390213464767,1.51201171875,1.5458984375
telco,2048,5,0.23831806399393826,0.23086959100328386,0.21204737102380022,0.27061695797601715,0.025400469772494137,1.51201171875,1.5458984375
telco,1000000000,5,1.214544312597718,1.1952158479834907,1.1144908569986,1.2958030510344543,0.06948923441800563,1.27490234375,1.5458984375
