timestamp_utc,algorithm,repeat_factor,run_index,rows,tx_prep_seconds,bitset_prep_seconds,bitset_cpu_prep_seconds,bitset_gpu_prep_seconds,mlxtend_prep_seconds,external_input_prep_seconds,status,elapsed_seconds,rule_count,itemset_count,note
2026-02-25T18:14:00+00:00,bitset_fim_cpu,20,0,140860,0.13878676667809486,0.04945287574082613,0.04945287574082613,0.12212941888719797,,,ok,0.029649590142071247,1408,1463,
2026-02-25T18:14:00+00:00,bitset_fim_gpu,20,0,140860,0.13878676667809486,0.04945287574082613,0.04945287574082613,0.12212941888719797,,,ok,0.028972127940505743,1408,1463,
2026-02-25T18:14:00+00:00,bitset_fim_cpu,20,1,140860,0.13878676667809486,0.04945287574082613,0.04945287574082613,0.12212941888719797,,,ok,0.029534016270190477,1408,1463,
2026-02-25T18:14:00+00:00,bitset_fim_gpu,20,1,140860,0.13878676667809486,0.04945287574082613,0.04945287574082613,0.12212941888719797,,,ok,0.02890734001994133,1408,1463,
2026-02-25T18:14:00+00:00,bitset_fim_cpu,20,2,140860,0.13878676667809486,0.04945287574082613,0.04945287574082613,0.12212941888719797,,,ok,0.033151482697576284,1408,1463,
2026-02-25T18:14:00+00:00,bitset_fim_gpu,20,2,140860,0.13878676667809486,0.04945287574082613,0.04945287574082613,0.12212941888719797,,,ok,0.029149126261472702,1408,1463,
2026-02-25T18:14:00+00:00,bitset_fim_cpu,20,3,140860,0.13878676667809486,0.04945287574082613,0.04945287574082613,0.12212941888719797,,,ok,0.029777504038065672,1408,1463,
2026-02-25T18:14:00+00:00,bitset_fim_gpu,20,3,140860,0.13878676667809486,0.04945287574082613,0.04945287574082613,0.12212941888719797,,,ok,0.028843444772064686,1408,1463,
2026-02-25T18:14:00+00:00,bitset_fim_cpu,20,4,140860,0.13878676667809486,0.04945287574082613,0.04945287574082613,0.12212941888719797,,,ok,0.029505332931876183,1408,1463,
2026-02-25T18:14:00+00:00,bitset_fim_gpu,20,4,140860,0.13878676667809486,0.04945287574082613,0.04945287574082613,0.12212941888719797,,,ok,0.028889363165944815,1408,1463,
2026-02-25T18:14:05+00:00,bitset_fim_cpu,200,0,1408600,1.949112995993346,0.5842532943934202,0.5842532943934202,0.6191804362460971,,,ok,0.35711872996762395,1408,1463,
2026-02-25T18:14:05+00:00,bitset_fim_gpu,200,0,1408600,1.949112995993346,0.5842532943934202,0.5842532943934202,0.6191804362460971,,,ok,0.2802970060147345,1408,1463,
2026-02-25T18:14:05+00:00,bitset_fim_cpu,200,1,1408600,1.949112995993346,0.5842532943934202,0.5842532943934202,0.6191804362460971,,,ok,0.3565960731357336,1408,1463,
2026-02-25T18:14:06+00:00,bitset_fim_gpu,200,1,1408600,1.949112995993346,0.5842532943934202,0.5842532943934202,0.6191804362460971,,,ok,0.28010707907378674,1408,1463,
2026-02-25T18:14:06+00:00,bitset_fim_cpu,200,2,1408600,1.949112995993346,0.5842532943934202,0.5842532943934202,0.6191804362460971,,,ok,0.36548555362969637,1408,1463,
2026-02-25T18:14:06+00:00,bitset_fim_gpu,200,2,1408600,1.949112995993346,0.5842532943934202,0.5842532943934202,0.6191804362460971,,,ok,0.28017141576856375,1408,1463,
2026-02-25T18:14:07+00:00,bitset_fim_cpu,200,3,1408600,1.949112995993346,0.5842532943934202,0.5842532943934202,0.6191804362460971,,,ok,0.3565650158561766,1408,1463,
2026-02-25T18:14:07+00:00,bitset_fim_gpu,200,3,1408600,1.949112995993346,0.5842532943934202,0.5842532943934202,0.6191804362460971,,,ok,0.28060197504237294,1408,1463,
2026-02-25T18:14:07+00:00,bitset_fim_cpu,200,4,1408600,1.949112995993346,0.5842532943934202,0.5842532943934202,0.6191804362460971,,,ok,0.3563741887919605,1408,1463,
2026-02-25T18:14:07+00:00,bitset_fim_gpu,200,4,1408600,1.949112995993346,0.5842532943934202,0.5842532943934202,0.6191804362460971,,,ok,0.2803521188907325,1408,1463,
2026-02-25T18:14:32+00:00,bitset_fim_cpu,1000,0,7043000,10.278159976005554,3.427693909034133,3.427693909034133,3.19969968078658,,,ok,1.7452410329133272,1408,1463,
2026-02-25T18:14:33+00:00,bitset_fim_gpu,1000,0,7043000,10.278159976005554,3.427693909034133,3.427693909034133,3.19969968078658,,,ok,1.3650299231521785,1408,1463,
2026-02-25T18:14:35+00:00,bitset_fim_cpu,1000,1,7043000,10.278159976005554,3.427693909034133,3.427693909034133,3.19969968078658,,,ok,1.7431469052098691,1408,1463,
2026-02-25T18:14:36+00:00,bitset_fim_gpu,1000,1,7043000,10.278159976005554,3.427693909034133,3.427693909034133,3.19969968078658,,,ok,1.3667546259239316,1408,1463,
2026-02-25T18:14:38+00:00,bitset_fim_cpu,1000,2,7043000,10.278159976005554,3.427693909034133,3.427693909034133,3.19969968078658,,,ok,1.7453651721589267,1408,1463,
2026-02-25T18:14:39+00:00,bitset_fim_gpu,1000,2,7043000,10.278159976005554,3.427693909034133,3.427693909034133,3.19969968078658,,,ok,1.3658934072591364,1408,1463,
2026-02-25T18:14:41+00:00,bitset_fim_cpu,1000,3,7043000,10.278159976005554,3.427693909034133,3.427693909034133,3.19969968078658,,,ok,1.7477304399944842,1408,1463,
2026-02-25T18:14:42+00:00,bitset_fim_gpu,1000,3,7043000,10.278159976005554,3.427693909034133,3.427693909034133,3.19969968078658,,,ok,1.3645049640908837,1408,1463,
2026-02-25T18:14:44+00:00,bitset_fim_cpu,1000,4,7043000,10.278159976005554,3.427693909034133,3.427693909034133,3.19969968078658,,,ok,1.7474846406839788,1408,1463,
2026-02-25T18:14:45+00:00,bitset_fim_gpu,1000,4,7043000,10.278159976005554,3.427693909034133,3.427693909034133,3.19969968078658,,,ok,1.367057163733989,1408,1463,
